gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000055950_MRPL43	3536	0.000916201023379962	9.56178318480634e-05	0.898598903315823	0.0937742000965742	0.00661507773237492
ENSG00000067057_PFKP	7466	0.295046229648572	0.0560056645040785	0.53808558297574	0.102130653780797	0.00873186909081224
ENSG00000078114_NEBL	5546	0.509011971053161	0.0832046343679737	0.342512860509997	0.0559788951734864	0.00929163889538211
ENSG00000089876_DHX32	5351	0.111678135022567	0.010731734964145	0.794516106746583	0.0763424685875484	0.00673155467915689
ENSG00000095787_WAC	6250	0.437285132479212	0.15999511830991	0.283359802457767	0.103660785015685	0.0156991617374256
ENSG00000107951_PAPD1	5903	7.14678703548052e-07	0.477744975226872	6.90149166133445e-07	0.461286621281754	0.0609669986635053
ENSG00000119979_FAM45A	5139	0.19733775450659	0.0209436313946734	0.678441328840753	0.0719722766155653	0.0313050086424182
ENSG00000120616_EPC1	4910	0.457896273695659	0.147077971506606	0.287426653618116	0.0923072090749637	0.0152918921046551
ENSG00000127884_ECHS1	3574	0.63161461845677	0.0699167601347589	0.261524161049689	0.0289414885428531	0.00800297181592932
ENSG00000134463_ECHDC3	5866	0.343078863859779	0.192653070462465	0.277017564953152	0.155525174506797	0.0317253262178076
ENSG00000138185_ENTPD1	5318	0.0428357782189118	0.00387627672160713	0.867063310402089	0.0784541477043074	0.00777048695308462
ENSG00000148484_RSU1	5518	0.452934435938761	0.0584124788167589	0.426289711011904	0.0549688597477364	0.00739451448483863
ENSG00000151640_DPYSL4	6678	0.175944892091348	0.0301310205937701	0.671816820113938	0.115043314614724	0.00706395258621963
ENSG00000151893_C10orf46	4828	0.54424357291255	0.0553833911850689	0.357579647388374	0.0363816587533638	0.00641172976064351
ENSG00000156398_SFXN2	3262	0.000279332566008464	0.466211714125614	0.000252634962646263	0.421541157851835	0.111715160493897
ENSG00000165730_STOX1	5741	0.189260391861956	0.0297041913541452	0.666195316990817	0.104548263604002	0.0102918361890796
ENSG00000165983_PTER	5561	2.10664694013364e-09	2.55216990352363e-10	0.885768055311061	0.107302488617271	0.00692945370980357
ENSG00000166169_POLL	3216	0.247614927142082	0.0557597193588531	0.55850240922806	0.125755242349837	0.0123677019211678
ENSG00000173915_USMG5	3895	6.00314949663929e-13	1.00194384563512e-09	0.00059878779955543	0.999394979586793	6.2316111071962e-06
ENSG00000183605_SFXN4	5181	0.583633871054628	0.0622797696379955	0.313889567657553	0.0334885546924497	0.00670823695737452
ENSG00000188690_UROS	5269	0.0114474569298199	0.00109428962172622	0.895421626094301	0.0855890343127924	0.00644759304136037
ENSG00000197771_C10orf119	5474	0.12488932623778	0.0147795734567967	0.760517790347012	0.0899908917038954	0.00982241825451673
ENSG00000205703_C10orf139	5869	0.56723171281984	0.0631675188913609	0.327114738036458	0.0364217763049661	0.00606425394737591
ENSG00000014138_POLA2	2890	0.382244984319284	0.22746285883139	0.225212690297553	0.133986420542607	0.0310930460091656
ENSG00000066336_SPI1	2729	0.0476504058870538	0.088875700281995	0.297354392857075	0.55460243438099	0.0115170665928863
ENSG00000074319_TSG101	5160	0.00543330039312403	0.000658976360295636	0.855134276656667	0.103679634331319	0.0350938122585946
