gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000055950_MRPL43	3427	0.000911052786243361	0.000103099164623859	0.893538015431593	0.101112772907787	0.00433505970975209
ENSG00000067057_PFKP	7357	0.309626174262688	0.050035948314499	0.544375409253541	0.0879636977631862	0.00799877040608654
ENSG00000078114_NEBL	5385	0.516190846290508	0.0823404745248871	0.337333722727944	0.0537996440824043	0.0103353123742569
ENSG00000089876_DHX32	5225	0.0978032061207321	0.0271313355430486	0.678651395807668	0.188254776733774	0.00815928579477735
ENSG00000095787_WAC	6104	0.546775860297357	0.0605747862272698	0.346113262806731	0.0383360987002574	0.00819999196838473
ENSG00000107951_PAPD1	5751	0.00610675765876428	0.489380419850926	0.00574277448892813	0.460173114016654	0.0385969339847275
ENSG00000119979_FAM45A	4984	0.186194940331302	0.0423042289759977	0.621964600145672	0.141304592505892	0.00823163804113608
ENSG00000120616_EPC1	4714	0.0443501450597668	0.54652125835106	0.0269667701035135	0.332258211968305	0.0499036145173554
ENSG00000127884_ECHS1	3788	0.604338298049351	0.0862820329282998	0.260910622309725	0.0372392621636421	0.0112297845489821
ENSG00000134463_ECHDC3	5742	0.484014939198628	0.0729053856898994	0.37692028792205	0.0567647185659851	0.00939466862343768
ENSG00000138185_ENTPD1	5155	0.0438522307032896	0.00356080726964219	0.876152368545946	0.0711383987370304	0.00529619474409201
ENSG00000148484_RSU1	5385	0.470360041387103	0.057143847991913	0.414928767914812	0.0504023603916364	0.00716498231453543
ENSG00000151640_DPYSL4	6599	0.174520092790486	0.0359160524490119	0.649502312304964	0.133660495076179	0.00640104737935903
ENSG00000151893_C10orf46	4689	0.544944540981822	0.0635146332693672	0.344124729567588	0.0401012730306263	0.00731482315059716
ENSG00000156398_SFXN2	3160	0.0304998039646075	0.456553296486083	0.02700803928749	0.404203137144847	0.0817357231169727
ENSG00000165730_STOX1	5590	0.2139210947949	0.017235809277958	0.703475203328595	0.0566709140152245	0.00869697858332237
ENSG00000165983_PTER	5425	3.14678491379708e-09	3.79348590673317e-10	0.887905907366681	0.107033031419892	0.00506105768729264
ENSG00000166169_POLL	3121	0.0246348844794819	0.27238137692526	0.0537431501994227	0.594168670588969	0.0550719178068661
ENSG00000173915_USMG5	3771	6.25966812816875e-11	9.38725832686534e-10	0.0624374405428819	0.93633656643307	0.00122599202272607
ENSG00000183605_SFXN4	5023	0.528036624267101	0.120311305492914	0.275515927618324	0.0627619702118168	0.0133741724098445
ENSG00000188690_UROS	5146	0.00978151040538734	0.00277043415633139	0.764492635034004	0.216522141612411	0.00643327879186681
ENSG00000197771_C10orf119	5331	0.115316545416001	0.0298739623540986	0.672029593182224	0.174087632724524	0.00869226632315309
ENSG00000205703_C10orf139	5752	0.516247145574504	0.11562814949604	0.291571864551678	0.0652945073883922	0.0112583329893859
ENSG00000014138_POLA2	2913	0.135850855654519	0.465085063513469	0.0792166891422716	0.271149438588297	0.0486979531014438
ENSG00000066336_SPI1	2663	0.102916544689171	0.0278204513675599	0.633785533324856	0.171261003015621	0.0642164676027927
ENSG00000074319_TSG101	5067	0.00560044744491726	0.000467659437738765	0.881184219530225	0.0735431512989018	0.0392045222882178
ENSG00000078124_PHCA	4145	1.93582395111381e-17	0.000929230631151993	2.08117093609192e-14	0.99899975092673	7.10184421001507e-05
ENSG00000099834_MUPCDH	4582	0.425178052536588	0.132736405259149	0.326710333970028	0.101982359362411	0.0133928488718255
ENSG00000110074_FOXRED1	5591	0.0124947503203268	0.00178168922815405	0.85415775367366	0.121788868881288	0.0097769378965718
ENSG00000110076_NRXN2	2753	0.201549266173934	0.556911145459837	0.0513498057518059	0.141838938965183	0.0483508436492403
ENSG00000110080_ST3GAL4	5605	0.548354435347519	0.0777189641202203	0.320303097874679	0.0453887263251882	0.00823477633239329
ENSG00000110315_RNF141	6138	0.418152767734754	0.165325193620253	0.287505757424722	0.113655882938629	0.0153603982816419
ENSG00000110455_ILMN_3829	5239	0.384824720334749	0.076315073456893	0.441959438314252	0.0876362666137169	0.0092645012803892
ENSG00000110768_GTF2H1	5068	0.00502497555179573	0.148724484284867	0.0272636560339644	0.806911887433796	0.0120749966955765
ENSG00000120451_SNX19	5093	0.261464915792824	0.0352965731011068	0.613299074670093	0.0827854285314935	0.00715400790448206
ENSG00000131626_PPFIA1	4973	0.0113227164470166	0.00135510345437354	0.877270634674873	0.104986742864021	0.00506480255971624
ENSG00000134627_PIWIL4	4275	0.599265947653108	0.0817331736106548	0.272791469021416	0.0371966930043483	0.00901271671047206
ENSG00000134809_TIMM10	4876	0.00236930260470317	0.00436153603317201	0.348594209873541	0.641707468448823	0.00296748303976086
