chr	pos	eQTL_p	GWAS_p	KG_AF1	KG_AF2	CEU_AF1	CEU_AF2	KG_MAF	CEU_MAF
11	33903882	0.311058608919494	0.18	0.766174	0.233826	0.789855	0.210145	0.233826	0.210145
11	33903909	0.732399190702441	0.84	0.572484	0.427516	0.492754	0.507246	0.427516	0.492754
11	33904180	0.614781533735577	0.65	0.565296	0.434704	0.485507	0.514493	0.434704	0.485507
11	33904206	0.614623365910671	0.67	0.219848	0.780152	0.23913	0.76087	0.219848	0.23913
11	33904286	0.614623365910671	0.55	0.104832	0.895168	0.23913	0.76087	0.104832	0.23913
11	33904384	0.311058608919494	0.13	0.764976	0.235024	0.789855	0.210145	0.235024	0.210145
11	33904389	0.311058608919494	0.13	0.816094	0.183906	0.789855	0.210145	0.183906	0.210145
11	33905285	0.614623365910671	0.53	0.225639	0.774361	0.23913	0.76087	0.225639	0.23913
11	33905371	0.802448809759666	0.53	0.114417	0.885583	0.268116	0.731884	0.114417	0.268116
11	33906201	0.894609721570016	0.51	0.421126	0.578874	0.557971	0.442029	0.421126	0.442029
11	33906478	0.568258051696929	0.7	0.841054	0.158946	0.84058	0.15942	0.158946	0.15942
11	33906484	0.101196470479984	0.67	0.704473	0.295527	0.804348	0.195652	0.295527	0.195652
11	33906826	0.160075348077901	0.54	0.737819	0.262181	0.789855	0.210145	0.262181	0.210145
11	33907232	0.788195963174805	0.59	0.386182	0.613818	0.550725	0.449275	0.386182	0.449275
11	33907798	0.833630309044179	0.31	0.878994	0.121006	0.768116	0.231884	0.121006	0.231884
11	33907955	0.395116599933358	0.069	0.253395	0.746605	0.282609	0.717391	0.253395	0.282609
11	33908547	0.410276043554747	0.14	0.277556	0.722444	0.282609	0.717391	0.277556	0.282609
11	33908609	0.410276043554747	0.12	0.34345	0.65655	0.282609	0.717391	0.34345	0.282609
11	33909294	0.456415074939502	0.19	0.396166	0.603834	0.471014	0.528986	0.396166	0.471014
11	33909421	0.72797551960945	0.76	0.946486	0.0535144	0.84058	0.15942	0.0535144	0.15942
11	33910775	0.432555880151823	0.16	0.261981	0.738019	0.275362	0.724638	0.261981	0.275362
11	33911287	0.514270673269059	0.71	0.990415	0.00958466	0.971014	0.0289855	0.00958466	0.0289855
11	33911609	0.432555880151823	0.16	0.259585	0.740415	0.275362	0.724638	0.259585	0.275362
11	33911730	0.349703524013766	0.94	0.747404	0.252596	0.695652	0.304348	0.252596	0.304348
11	33911834	0.246738167800113	0.13	0.279353	0.720647	0.311594	0.688406	0.279353	0.311594
11	33912043	0.658250411847634	0.15	0.244808	0.755192	0.268116	0.731884	0.244808	0.268116
11	33912448	0.0999791810121937	0.16	0.54373	0.45627	0.601449	0.398551	0.45627	0.398551
11	33912790	0.0375438431230155	0.17	0.568091	0.431909	0.615942	0.384058	0.431909	0.384058
11	33913568	0.0803459537370186	0.26	0.563099	0.436901	0.608696	0.391304	0.436901	0.391304
11	33914428	0.486197771012452	0.39	0.370208	0.629792	0.463768	0.536232	0.370208	0.463768
11	33914463	0.0521657099836027	0.11	0.573882	0.426118	0.623188	0.376812	0.426118	0.376812
11	33914500	0.376596860042806	0.93	0.949281	0.0507188	0.963768	0.0362319	0.0507188	0.0362319
11	33915810	0.835236670180247	0.61	0.939497	0.0605032	0.956522	0.0434783	0.0605032	0.0434783
11	33915891	0.206971103593333	0.04	0.554313	0.445687	0.528986	0.471014	0.445687	0.471014
11	33917349	0.835236670180247	0.16	0.936901	0.063099	0.956522	0.0434783	0.063099	0.0434783
11	33917466	0.988731298671965	0.11	0.435703	0.564297	0.268116	0.731884	0.435703	0.268116
11	33917594	0.797975709076376	0.13	0.354832	0.645168	0.26087	0.73913	0.354832	0.26087
11	33917830	0.69856366289703	0.051	0.363419	0.636581	0.217391	0.782609	0.363419	0.217391
11	33918553	0.835236670180247	0.37	0.941294	0.0587061	0.956522	0.0434783	0.0587061	0.0434783
11	33922131	0.835236670180247	0.61	0.979433	0.0205671	0.956522	0.0434783	0.0205671	0.0434783
11	33922163	0.556196280843593	0.26	0.891573	0.108427	0.963768	0.0362319	0.108427	0.0362319
11	33922518	0.0924923448258151	0.12	0.865415	0.134585	0.775362	0.224638	0.134585	0.224638
11	33922947	0.613687180552269	0.072	0.966054	0.0339457	0.942029	0.057971	0.0339457	0.057971
11	33924723	0.253787046713018	0.071	0.520966	0.479034	0.536232	0.463768	0.479034	0.463768
11	33924787	0.60840652020679	0.057	0.395168	0.604832	0.42029	0.57971	0.395168	0.42029
11	33925975	0.6196625799418	0.29	0.341054	0.658946	0.282609	0.717391	0.341054	0.282609
11	33926680	0.532005957531314	0.19	0.57528	0.42472	0.369565	0.630435	0.42472	0.369565
11	33927169	0.326892490425921	0.19	0.455471	0.544529	0.355072	0.644928	0.455471	0.355072
11	33927969	0.983534443974633	0.81	0.833067	0.166933	0.92029	0.0797101	0.166933	0.0797101
11	33927980	0.293643558419417	0.053	0.987021	0.0129792	0.949275	0.0507246	0.0129792	0.0507246
11	33929348	0.532005957531314	0.19	0.595248	0.404752	0.369565	0.630435	0.404752	0.369565
11	33930372	0.844700060820228	0.56	0.989018	0.0109824	0.963768	0.0362319	0.0109824	0.0362319
11	33931009	0.520070076855202	0.17	0.365216	0.634784	0.289855	0.710145	0.365216	0.289855
11	33931550	0.125920008936719	0.15	0.982029	0.0179712	0.949275	0.0507246	0.0179712	0.0507246
11	33931867	0.942303281422285	0.79	0.870607	0.129393	0.905797	0.0942029	0.129393	0.0942029
11	33932051	0.796262338267467	0.77	0.92512	0.0748802	0.913043	0.0869565	0.0748802	0.0869565
11	33933115	0.605808556086621	0.59	0.860224	0.139776	0.876812	0.123188	0.139776	0.123188
11	33934972	0.195196891244936	0.075	0.467452	0.532548	0.427536	0.572464	0.467452	0.427536
11	33935015	0.258537434082811	0.016	0.413538	0.586462	0.376812	0.623188	0.413538	0.376812
11	33935020	0.00248136799079613	0.02	0.555911	0.444089	0.57971	0.42029	0.444089	0.42029
11	33935056	0.01768548932163	0.15	0.727835	0.272165	0.630435	0.369565	0.272165	0.369565
11	33935657	0.526113416296012	0.025	0.620008	0.379992	0.449275	0.550725	0.379992	0.449275
11	33936163	0.739190870225558	0.67	0.382588	0.617412	0.246377	0.753623	0.382588	0.246377
11	33936636	0.739190870225558	0.66	0.368411	0.631589	0.246377	0.753623	0.368411	0.246377
11	33936708	0.300495977041962	0.018	0.964457	0.0355431	0.956522	0.0434783	0.0355431	0.0434783
11	33938732	0.300495977041962	0.018	0.953075	0.0469249	0.956522	0.0434783	0.0469249	0.0434783
11	33939425	0.0867327531854629	0.019	0.979233	0.0207668	0.92029	0.0797101	0.0207668	0.0797101
11	33939531	0.970707549509613	0.11	0.95647	0.0435304	0.978261	0.0217391	0.0435304	0.0217391
11	33940252	0.300495977041962	0.014	0.951677	0.0483227	0.956522	0.0434783	0.0483227	0.0434783
11	33940293	0.416155516827637	0.035	0.583267	0.416733	0.442029	0.557971	0.416733	0.442029
11	33940370	0.416155516827637	0.026	0.583466	0.416534	0.442029	0.557971	0.416534	0.442029
11	33940639	0.325149838086946	0.097	0.988019	0.0119808	0.978261	0.0217391	0.0119808	0.0217391
11	33941391	0.300495977041962	0.014	0.964856	0.0351438	0.956522	0.0434783	0.0351438	0.0434783
11	33941747	0.374739384354699	0.013	0.834864	0.165136	0.934783	0.0652174	0.165136	0.0652174
11	33941889	0.970707549509613	0.13	0.899361	0.100639	0.978261	0.0217391	0.100639	0.0217391
11	33942862	0.358015264201462	0.82	0.367013	0.632987	0.26087	0.73913	0.367013	0.26087
11	33943644	0.462747520534632	0.037	0.567093	0.432907	0.427536	0.572464	0.432907	0.427536
11	33944558	0.747638912043891	0.28	0.953075	0.0469249	0.891304	0.108696	0.0469249	0.108696
11	33945059	0.58267823245299	0.78	0.352835	0.647165	0.268116	0.731884	0.352835	0.268116
11	33945083	0.747638912043891	0.3	0.952875	0.0471246	0.891304	0.108696	0.0471246	0.108696
11	33945335	0.776995789488584	0.019	0.873003	0.126997	0.847826	0.152174	0.126997	0.152174
11	33946325	0.300495977041962	0.012	0.963259	0.0367412	0.956522	0.0434783	0.0367412	0.0434783
11	33947405	0.300495977041962	0.011	0.966054	0.0339457	0.956522	0.0434783	0.0339457	0.0434783
11	33947725	0.522386328366163	0.07	0.66274	0.33726	0.449275	0.550725	0.33726	0.449275
11	33949342	0.503844946841586	0.56	0.409345	0.590655	0.289855	0.710145	0.409345	0.289855
11	33951347	0.747638912043891	0.33	0.954473	0.0455272	0.891304	0.108696	0.0455272	0.108696
11	33951375	0.39091704593333	0.021	0.644569	0.355431	0.449275	0.550725	0.355431	0.449275
11	33951862	0.300495977041962	0.012	0.965655	0.034345	0.956522	0.0434783	0.034345	0.0434783
11	33953450	0.300495977041962	0.0082	0.965855	0.0341454	0.956522	0.0434783	0.0341454	0.0434783
11	33953689	0.293643558419417	0.074	0.985623	0.014377	0.949275	0.0507246	0.014377	0.0507246
11	33953760	0.300495977041962	0.0084	0.965655	0.034345	0.956522	0.0434783	0.034345	0.0434783
11	33954193	0.300495977041962	0.019	0.830671	0.169329	0.956522	0.0434783	0.169329	0.0434783
11	33954222	0.300495977041962	0.0088	0.965655	0.034345	0.956522	0.0434783	0.034345	0.0434783
11	33954223	0.178426676327852	0.93	0.990016	0.00998403	0.978261	0.0217391	0.00998403	0.0217391
11	33954471	0.300495977041962	0.016	0.841653	0.158347	0.956522	0.0434783	0.158347	0.0434783
11	33954617	0.300495977041962	0.0082	0.965655	0.034345	0.956522	0.0434783	0.034345	0.0434783
11	33956132	0.469127554840194	0.42	0.401558	0.598442	0.275362	0.724638	0.401558	0.275362
11	33956626	0.747638912043891	0.41	0.958067	0.0419329	0.891304	0.108696	0.0419329	0.108696
11	33957623	0.533364489945789	0.085	0.985823	0.0141773	0.971014	0.0289855	0.0141773	0.0289855
11	33957691	0.200250571530007	0.65	0.974241	0.0257588	0.978261	0.0217391	0.0257588	0.0217391
11	33957782	0.0190238637451469	7e-04	0.775559	0.224441	0.652174	0.347826	0.224441	0.347826
11	33958297	0.7616542627333	0.6	0.585264	0.414736	0.724638	0.275362	0.414736	0.275362
11	33958433	0.80503333559287	0.27	0.635383	0.364617	0.797101	0.202899	0.364617	0.202899
11	33959376	0.358334902175459	0.15	0.942891	0.0571086	0.949275	0.0507246	0.0571086	0.0507246
11	33959409	0.358334902175459	0.17	0.965056	0.0349441	0.949275	0.0507246	0.0349441	0.0507246
11	33959436	0.895578965629558	0.12	0.475639	0.524361	0.326087	0.673913	0.475639	0.326087
11	33959476	0.944171843297407	0.14	0.521765	0.478235	0.318841	0.681159	0.478235	0.318841
11	33959495	0.895578965629558	0.056	0.484824	0.515176	0.326087	0.673913	0.484824	0.326087
11	33959549	0.358334902175459	0.14	0.941893	0.058107	0.949275	0.0507246	0.058107	0.0507246
11	33959835	0.585735555442859	0.18	0.454473	0.545527	0.275362	0.724638	0.454473	0.275362
11	33960846	0.747022723755533	0.21	0.398962	0.601038	0.268116	0.731884	0.398962	0.268116
