chr	pos	ensg	gene_name	ceu.fdr	chb.fdr	gih.fdr	jpt.fdr	lwk.fdr	yri.fdr	numPop	ceu.af	chb.af	gih.af	jpt.af	lwk.af	yri.af
10	104487382	ENSG00000156398	SFXN2	1.00652133196182e-08	3.87837034347414e-14	3.51927922071767e-06	3.09900487582191e-13	4.08349722519821e-11	6.89720942502287e-09	6	0.166667	0.427536	0.413043	0.471014	0.289855	0.166667
1	110225019	ENSG00000134184	GSTM1	8.02390986133936e-22	6.87668102153584e-31	1.76375676121416e-22	7.24605219210784e-26	9.28192826223368e-22	5.84708955593165e-21	6	0.282609	0.275362	0.463768	0.318841	0.5	0.42029
12	57489648	ENSG00000166888	STAT6	1.56225803608067e-08	8.35109422641302e-15	2.72450291155994e-13	5.63277571976434e-16	1.5259232602061e-13	4.28937912504504e-15	6	0.405797	0.355072	0.492754	0.304348	0.478261	0.369565
14	74666977	ENSG00000205659	LIN52	7.56964788646082e-15	8.42417102441953e-10	1.64925269670556e-08	NA	2.54905539215036e-11	1.46748613986315e-10	5	0.275362	0.15942	0.449275	0.123188	0.311594	0.369565
16	78312497	ENSG00000186153	WWOX	2.11722691462517e-07	1.61367371090806e-09	NA	8.04467566345043e-13	9.91585048340995e-08	0.000239056706075245	5	0.456522	0.485507	0.478261	0.434783	0.42029	0.485507
17	33571546	ENSG00000166750	SLFN5	NA	5.93557991394556e-17	1.16068847520524e-21	1.91724506479143e-21	2.82484721829956e-20	2.37958515683925e-13	5	0.5	0.369565	0.463768	0.42029	0.398551	0.318841
17	905386	ENSG00000177370	TIMM22	NA	9.78084593170445e-21	2.03489960449438e-24	1.56051586264162e-24	3.20940047245848e-13	2.38843028343432e-23	5	0.275362	0.427536	0.442029	0.427536	0.434783	0.413043
20	16710791	ENSG00000125870	SNRPB2	7.00345696295263e-06	1.70472489065077e-09	6.08863833895468e-05	2.60478789266446e-13	3.58169304428602e-11	1.51717784391486e-08	6	0.057971	0.210145	0.0869565	0.304348	0.26087	0.231884
22	38087484	ENSG00000100101	NOL12	1.91387015467143e-08	4.13594296660144e-05	0.000135171040806546	1.20931612469347e-11	NA	9.92171343963481e-07	5	0.311594	0.166667	0.5	0.268116	0.471014	0.434783
4	170678993	ENSG00000056050	C4orf27	2.86102754072968e-05	2.10403524584867e-06	NA	4.90748876794118e-08	8.05807849520465e-08	9.84478186927146e-08	5	0.210145	0.123188	0.217391	0.108696	0.311594	0.23913
4	8230456	ENSG00000125089	SH3TC1	6.34127105705478e-05	1.37995749417375e-07	1.37111823183714e-10	5.08545523805977e-07	0.000456022732810823	NA	5	0.311594	0.485507	0.34058	0.456522	0.478261	0.362319
7	6502367	ENSG00000136240	KDELR2	0.000263087708087197	5.18607710388997e-14	6.65077206433159e-09	6.38296405711489e-13	2.53010382704677e-15	1.57661622220562e-09	6	0.152174	0.376812	0.34058	0.311594	0.355072	0.34058
9	100954429	ENSG00000106789	CORO2A	3.58984749271604e-05	1.81580810272365e-19	2.55745509890151e-08	5.17276891802026e-17	1.16588384926314e-08	1.44332366042853e-15	6	0.115942	0.181159	0.0362319	0.195652	0.333333	0.347826
