gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000055950_MRPL43	3589	0.000858647139935	8.28922875777884e-05	0.906985571568076	0.0875542762992733	0.00451861270513813
ENSG00000067057_PFKP	7684	0.273211866848918	0.0720076087839694	0.508094643923178	0.133900432769462	0.0127854476744726
ENSG00000078114_NEBL	5628	0.524656236719034	0.0651354080937158	0.357947731539848	0.0444309283682289	0.00782969527917299
ENSG00000089876_DHX32	5454	0.106431276942801	0.0151428072975186	0.764392508235436	0.108750797222292	0.00528261030195282
ENSG00000095787_WAC	6420	0.526914023113161	0.0690468268291026	0.351184418078013	0.0460123726101742	0.00684235936954869
ENSG00000107951_PAPD1	6036	0.4372757078919	0.0668661575209355	0.423766929003111	0.0647931601448657	0.00729804543918789
ENSG00000119979_FAM45A	5195	0.199940037652333	0.0164031775711391	0.712205571662205	0.0584166556451696	0.0130345574691524
ENSG00000120616_EPC1	4962	0.561440154903946	0.0467525475237831	0.35694368582996	0.0297184620581661	0.00514514968414496
ENSG00000127884_ECHS1	3999	0.632501702378714	0.0484256657431073	0.291074787963553	0.0222795820545794	0.00571826186004566
ENSG00000134463_ECHDC3	5959	0.0046086252444622	0.501629450219223	0.00381923788816188	0.41563365168438	0.0743090349637728
ENSG00000138185_ENTPD1	5434	0.0420016081414825	0.00345005784005551	0.877655179956283	0.0720867459980678	0.00480640806411119
ENSG00000148484_RSU1	5656	0.452539060639702	0.0631080321882438	0.41721720437467	0.0581733229812452	0.00896237981613915
ENSG00000151640_DPYSL4	6924	0.184512542687693	0.0188417052787221	0.716348336709689	0.0731435601319447	0.00715385519195093
ENSG00000151893_C10orf46	4882	0.556315990940635	0.0437446113133258	0.365686752285069	0.0287494222177727	0.00550322324319734
ENSG00000156398_SFXN2	3308	0.439247852291323	0.0623919373747354	0.40249548519149	0.0571328011288692	0.0387319240135825
ENSG00000165730_STOX1	5833	0.0678631412271405	0.152182038001097	0.235848523592541	0.528871408594825	0.0152348885843958
ENSG00000165983_PTER	5715	2.05855778473586e-09	2.83328644123005e-10	0.867408089112421	0.119372089455132	0.0132198190905599
ENSG00000166169_POLL	3256	0.271839464132374	0.0210602211350291	0.650657157907192	0.0504023267421183	0.00604083008328684
ENSG00000173915_USMG5	3971	8.53059214605699e-10	1.22159993239048e-10	0.850889144546249	0.121821945429266	0.0272889090492645
ENSG00000183605_SFXN4	5234	0.595617179414915	0.0489677806512567	0.323424513833425	0.026584459366953	0.00540606673344953
ENSG00000188690_UROS	5369	0.0106764140822805	0.00161121128698131	0.854469942588234	0.128946455209314	0.00429597683318975
ENSG00000197771_C10orf119	5564	0.126245295842358	0.0147871965273176	0.762069005009501	0.0892540113134701	0.00764449130735386
ENSG00000205703_C10orf139	6021	0.544526882291773	0.0796367473818821	0.321465894510512	0.0470068409261019	0.00736363488973057
ENSG00000014138_POLA2	3060	0.0373318750375534	0.553667601442408	0.0229268693219271	0.339981424021972	0.0460922301761399
ENSG00000066336_SPI1	2806	0.0621891686402156	0.0540548094106379	0.395971057158721	0.344034190414603	0.143750774375822
ENSG00000074319_TSG101	5310	0.00521169314410325	0.000772476791929935	0.861709968794002	0.127718003219896	0.0045878580500686
ENSG00000078124_PHCA	4357	0.000836247353020294	5.12295590894067e-05	0.93650364829973	0.0573661424382428	0.00524273234991738
ENSG00000099834_MUPCDH	4876	0.387014623984004	0.150478292710644	0.320047399009865	0.124422185699474	0.0180374985960125
ENSG00000110074_FOXRED1	5866	0.012023536162078	0.00154806030576542	0.867654676149977	0.111705638152375	0.007068089229805
ENSG00000110076_NRXN2	2898	0.0552556539459383	0.690528977458284	0.014806296822232	0.184979612751445	0.0544294590221012
ENSG00000110080_ST3GAL4	5874	0.544543331277493	0.0701372219383074	0.333483903620764	0.042943860132386	0.00889168303105036
ENSG00000110315_RNF141	6441	0.510656963543749	0.064980901863612	0.369993458407274	0.04707423058462	0.00729444560074471
ENSG00000110455_ILMN_3829	5445	0.000295602080974588	0.444105045199735	0.000345774510493123	0.519447020170322	0.0358065580384749
ENSG00000110768_GTF2H1	5310	0.00265363429684777	0.150379595443543	0.0144762980874786	0.82034952399606	0.012140948176071
ENSG00000120451_SNX19	5358	0.246771945535091	0.0309947035116953	0.618832606068822	0.0777000436368398	0.0257007012475522
ENSG00000131626_PPFIA1	5190	0.0108320076048929	0.00125091221527875	0.881581637279297	0.101803117656462	0.00453232524406934
ENSG00000134627_PIWIL4	4487	0.627432715432783	0.0449729791548513	0.301038964750653	0.0215728197733236	0.00498252088838952
ENSG00000134809_TIMM10	5106	0.00555945176657352	0.00107740740491939	0.825150742023173	0.159903775689909	0.00830862311542441
ENSG00000149084_HSD17B12	6043	1.7827998752466e-09	2.67843791047364e-06	5.03151852370707e-05	0.0746671079437588	0.925279896650295
ENSG00000149089_APIP	5579	1.43362239326329e-06	3.29037346788719e-06	0.0443087675895877	0.10084026814735	0.854846240267201
